ind,synbiohub_uri,igem_link,team_name
149,https://synbiohub.org/public/igem/BBa_K1366102/1,http://parts.igem.org/Part:BBa_K1366102,iGEM14_Tec-Monterrey
150,https://synbiohub.org/public/igem/BBa_K1311000/1,http://parts.igem.org/Part:BBa_K1311000,iGEM14_Tsinghua-A
151,https://synbiohub.org/public/igem/BBa_K1725211/1,http://parts.igem.org/Part:BBa_K1725211,iGEM15_Glasgow
152,https://synbiohub.org/public/igem/BBa_K1725215/1,http://parts.igem.org/Part:BBa_K1725215,iGEM15_Glasgow
153,https://synbiohub.org/public/igem/BBa_K1725216/1,http://parts.igem.org/Part:BBa_K1725216,iGEM15_Glasgow
154,https://synbiohub.org/public/igem/BBa_K1725217/1,http://parts.igem.org/Part:BBa_K1725217,iGEM15_Glasgow
155,https://synbiohub.org/public/igem/BBa_K1725218/1,http://parts.igem.org/Part:BBa_K1725218,iGEM15_Glasgow
156,https://synbiohub.org/public/igem/BBa_K1725219/1,http://parts.igem.org/Part:BBa_K1725219,iGEM15_Glasgow
157,https://synbiohub.org/public/igem/BBa_K1725220/1,http://parts.igem.org/Part:BBa_K1725220,iGEM15_Glasgow
158,https://synbiohub.org/public/igem/BBa_K1725221/1,http://parts.igem.org/Part:BBa_K1725221,iGEM15_Glasgow
159,https://synbiohub.org/public/igem/BBa_K1682005/1,http://parts.igem.org/Part:BBa_K1682005,iGEM15_HKUST-Rice
160,https://synbiohub.org/public/igem/BBa_K1682007/1,http://parts.igem.org/Part:BBa_K1682007,iGEM15_HKUST-Rice
161,https://synbiohub.org/public/igem/BBa_K1682008/1,http://parts.igem.org/Part:BBa_K1682008,iGEM15_HKUST-Rice
162,https://synbiohub.org/public/igem/BBa_K1682009/1,http://parts.igem.org/Part:BBa_K1682009,iGEM15_HKUST-Rice
163,https://synbiohub.org/public/igem/BBa_K1582008/1,http://parts.igem.org/Part:BBa_K1582008,iGEM15_Tianjin
164,https://synbiohub.org/public/igem/BBa_K1582009/1,http://parts.igem.org/Part:BBa_K1582009,iGEM15_Tianjin
165,https://synbiohub.org/public/igem/BBa_K1618005/1,http://parts.igem.org/Part:BBa_K1618005,iGEM15_NRP-UEA-Norwich
166,https://synbiohub.org/public/igem/BBa_K1695001/1,http://parts.igem.org/Part:BBa_K1695001,iGEM15_CityU_HK
167,https://synbiohub.org/public/igem/BBa_K1695002/1,http://parts.igem.org/Part:BBa_K1695002,iGEM15_CityU_HK
168,https://synbiohub.org/public/igem/BBa_K1695003/1,http://parts.igem.org/Part:BBa_K1695003,iGEM15_CityU_HK
169,https://synbiohub.org/public/igem/BBa_K1695004/1,http://parts.igem.org/Part:BBa_K1695004,iGEM15_CityU_HK
170,https://synbiohub.org/public/igem/BBa_K1695005/1,http://parts.igem.org/Part:BBa_K1695005,iGEM15_CityU_HK
171,https://synbiohub.org/public/igem/BBa_K1695006/1,http://parts.igem.org/Part:BBa_K1695006,iGEM15_CityU_HK
172,https://synbiohub.org/public/igem/BBa_K1695007/1,http://parts.igem.org/Part:BBa_K1695007,iGEM15_CityU_HK
173,https://synbiohub.org/public/igem/BBa_K1695008/1,http://parts.igem.org/Part:BBa_K1695008,iGEM15_CityU_HK
174,https://synbiohub.org/public/igem/BBa_K1695009/1,http://parts.igem.org/Part:BBa_K1695009,iGEM15_CityU_HK
175,https://synbiohub.org/public/igem/BBa_K1695010/1,http://parts.igem.org/Part:BBa_K1695010,iGEM15_CityU_HK
176,https://synbiohub.org/public/igem/BBa_K1725001/1,http://parts.igem.org/Part:BBa_K1725001,iGEM15_Glasgow
177,https://synbiohub.org/public/igem/BBa_K1725021/1,http://parts.igem.org/Part:BBa_K1725021,iGEM15_Glasgow
178,https://synbiohub.org/public/igem/BBa_K1725022/1,http://parts.igem.org/Part:BBa_K1725022,iGEM15_Glasgow
179,https://synbiohub.org/public/igem/BBa_K1725042/1,http://parts.igem.org/Part:BBa_K1725042,iGEM15_Glasgow
180,https://synbiohub.org/public/igem/BBa_K1695011/1,http://parts.igem.org/Part:BBa_K1695011,iGEM15_CityU_HK
181,https://synbiohub.org/public/igem/BBa_K1695012/1,http://parts.igem.org/Part:BBa_K1695012,iGEM15_CityU_HK
182,https://synbiohub.org/public/igem/BBa_K1695013/1,http://parts.igem.org/Part:BBa_K1695013,iGEM15_CityU_HK
183,https://synbiohub.org/public/igem/BBa_K1695014/1,http://parts.igem.org/Part:BBa_K1695014,iGEM15_CityU_HK
184,https://synbiohub.org/public/igem/BBa_K1695015/1,http://parts.igem.org/Part:BBa_K1695015,iGEM15_CityU_HK
185,https://synbiohub.org/public/igem/BBa_K1695016/1,http://parts.igem.org/Part:BBa_K1695016,iGEM15_CityU_HK
186,https://synbiohub.org/public/igem/BBa_K1695017/1,http://parts.igem.org/Part:BBa_K1695017,iGEM15_CityU_HK
187,https://synbiohub.org/public/igem/BBa_K1695018/1,http://parts.igem.org/Part:BBa_K1695018,iGEM15_CityU_HK
188,https://synbiohub.org/public/igem/BBa_K1695019/1,http://parts.igem.org/Part:BBa_K1695019,iGEM15_CityU_HK
189,https://synbiohub.org/public/igem/BBa_K1695020/1,http://parts.igem.org/Part:BBa_K1695020,iGEM15_CityU_HK
190,https://synbiohub.org/public/igem/BBa_K1695021/1,http://parts.igem.org/Part:BBa_K1695021,iGEM15_CityU_HK
191,https://synbiohub.org/public/igem/BBa_K1695022/1,http://parts.igem.org/Part:BBa_K1695022,iGEM15_CityU_HK
192,https://synbiohub.org/public/igem/BBa_K1695023/1,http://parts.igem.org/Part:BBa_K1695023,iGEM15_CityU_HK
193,https://synbiohub.org/public/igem/BBa_K1695024/1,http://parts.igem.org/Part:BBa_K1695024,iGEM15_CityU_HK
194,https://synbiohub.org/public/igem/BBa_K1695025/1,http://parts.igem.org/Part:BBa_K1695025,iGEM15_CityU_HK
195,https://synbiohub.org/public/igem/BBa_K1695026/1,http://parts.igem.org/Part:BBa_K1695026,iGEM15_CityU_HK
196,https://synbiohub.org/public/igem/BBa_K1695027/1,http://parts.igem.org/Part:BBa_K1695027,iGEM15_CityU_HK
197,https://synbiohub.org/public/igem/BBa_K1695028/1,http://parts.igem.org/Part:BBa_K1695028,iGEM15_CityU_HK
198,https://synbiohub.org/public/igem/BBa_K1695029/1,http://parts.igem.org/Part:BBa_K1695029,iGEM15_CityU_HK
199,https://synbiohub.org/public/igem/BBa_K1695030/1,http://parts.igem.org/Part:BBa_K1695030,iGEM15_CityU_HK
200,https://synbiohub.org/public/igem/BBa_K1695031/1,http://parts.igem.org/Part:BBa_K1695031,iGEM15_CityU_HK
201,https://synbiohub.org/public/igem/BBa_K1695032/1,http://parts.igem.org/Part:BBa_K1695032,iGEM15_CityU_HK
202,https://synbiohub.org/public/igem/BBa_K1695033/1,http://parts.igem.org/Part:BBa_K1695033,iGEM15_CityU_HK
203,https://synbiohub.org/public/igem/BBa_K1638015/1,http://parts.igem.org/Part:BBa_K1638015,iGEM15_SDU-Denmark
204,https://synbiohub.org/public/igem/BBa_K1638018/1,http://parts.igem.org/Part:BBa_K1638018,iGEM15_SDU-Denmark
205,https://synbiohub.org/public/igem/BBa_K1632002/1,http://parts.igem.org/Part:BBa_K1632002,iGEM15_Tokyo_Tech
206,https://synbiohub.org/public/igem/BBa_K1618006/1,http://parts.igem.org/Part:BBa_K1618006,iGEM15_NRP-UEA-Norwich
207,https://synbiohub.org/public/igem/BBa_K1618007/1,http://parts.igem.org/Part:BBa_K1618007,iGEM15_NRP-UEA-Norwich
208,https://synbiohub.org/public/igem/BBa_K1618008/1,http://parts.igem.org/Part:BBa_K1618008,iGEM15_NRP-UEA-Norwich
209,https://synbiohub.org/public/igem/BBa_K1618009/1,http://parts.igem.org/Part:BBa_K1618009,iGEM15_NRP-UEA-Norwich
210,https://synbiohub.org/public/igem/BBa_K1618010/1,http://parts.igem.org/Part:BBa_K1618010,iGEM15_NRP-UEA-Norwich
211,https://synbiohub.org/public/igem/BBa_K1618011/1,http://parts.igem.org/Part:BBa_K1618011,iGEM15_NRP-UEA-Norwich
212,https://synbiohub.org/public/igem/BBa_K1695034/1,http://parts.igem.org/Part:BBa_K1695034,iGEM15_CityU_HK
213,https://synbiohub.org/public/igem/BBa_K1695037/1,http://parts.igem.org/Part:BBa_K1695037,iGEM15_CityU_HK
214,https://synbiohub.org/public/igem/BBa_K1695038/1,http://parts.igem.org/Part:BBa_K1695038,iGEM15_CityU_HK
215,https://synbiohub.org/public/igem/BBa_K1695039/1,http://parts.igem.org/Part:BBa_K1695039,iGEM15_CityU_HK
216,https://synbiohub.org/public/igem/BBa_K1638022/1,http://parts.igem.org/Part:BBa_K1638022,iGEM15_SDU-Denmark
217,https://synbiohub.org/public/igem/BBa_K1638023/1,http://parts.igem.org/Part:BBa_K1638023,iGEM15_SDU-Denmark
218,https://synbiohub.org/public/igem/BBa_K1638027/1,http://parts.igem.org/Part:BBa_K1638027,iGEM15_SDU-Denmark
219,https://synbiohub.org/public/igem/BBa_K1638028/1,http://parts.igem.org/Part:BBa_K1638028,iGEM15_SDU-Denmark
220,https://synbiohub.org/public/igem/BBa_K1593666/1,http://parts.igem.org/Part:BBa_K1593666,iGEM15_USTC
