Spurious,Real
https://synbiohub.org/public/igem/BBa_M36309/1,https://synbiohub.org/public/igem/BBa_K367000/1
https://synbiohub.org/public/igem/BBa_K827009/1,https://synbiohub.org/public/igem/BBa_K1723001/1
https://synbiohub.org/public/igem/BBa_M45091/1,https://synbiohub.org/public/igem/BBa_K2045002/1
https://synbiohub.org/public/igem/BBa_K245124/1,https://synbiohub.org/public/igem/BBa_K1696005/1
https://synbiohub.org/public/igem/BBa_J25900/1,https://synbiohub.org/public/igem/BBa_J100079/1
https://synbiohub.org/public/igem/BBa_K1486046/1,https://synbiohub.org/public/igem/BBa_K165077/1
https://synbiohub.org/public/igem/BBa_K598005/1,https://synbiohub.org/public/igem/BBa_K209401/1
https://synbiohub.org/public/igem/BBa_K827085/1,https://synbiohub.org/public/igem/BBa_K1654010/1
https://synbiohub.org/public/igem/BBa_K1479004/1,https://synbiohub.org/public/igem/BBa_K1989031/1
https://synbiohub.org/public/igem/BBa_K094002/1,https://synbiohub.org/public/igem/BBa_K1695025/1
https://synbiohub.org/public/igem/BBa_K121000/1,https://synbiohub.org/public/igem/BBa_K187033/1
https://synbiohub.org/public/igem/BBa_K631003/1,https://synbiohub.org/public/igem/BBa_K1595013/1
https://synbiohub.org/public/igem/BBa_I766000/1,https://synbiohub.org/public/igem/BBa_K2044014/1
https://synbiohub.org/public/igem/BBa_K273028/1,https://synbiohub.org/public/igem/BBa_K1170001/1
https://synbiohub.org/public/igem/BBa_K1152998/1,https://synbiohub.org/public/igem/BBa_K187155/1
https://synbiohub.org/public/igem/BBa_J05829/1,https://synbiohub.org/public/igem/BBa_M41017/1
https://synbiohub.org/public/igem/BBa_K245014/1,https://synbiohub.org/public/igem/BBa_K1084504/1
https://synbiohub.org/public/igem/BBa_K1479014/1,https://synbiohub.org/public/igem/BBa_K1692027/1
https://synbiohub.org/public/igem/BBa_K827000/1,https://synbiohub.org/public/igem/BBa_K2036019/1
https://synbiohub.org/public/igem/BBa_K2066538/1,https://synbiohub.org/public/igem/BBa_K389001/1
